Fecha,Provincias,Puestos,Sueldo_bruto,Sueldo_neto
2009-07-01,cordoba,459399.0,2574.0,2242.0
2009-07-01,corrientes,65325.99999999999,2202.0,1902.0
2009-07-01,entre_rios,125276.0,2309.0,2006.0
2009-07-01,formosa,22059.0,2178.0,1868.0
2009-07-01,jujuy,48920.0,2446.0,2112.0
2009-07-01,la_pampa,36270.0,2467.0,2136.0
2009-07-01,la_rioja,26102.0,2333.0,2006.0
2009-07-01,mendoza,180907.0,2488.0,2177.0
2009-07-01,misiones,90103.0,2160.0,1855.0
2009-07-01,neuquen,86477.0,4897.0,4363.0
2009-07-01,provincia_buenos_aires,1783135.0,3005.0,2625.0
2009-07-01,rio_negro,89540.0,2864.0,2493.0
2009-07-01,salta,78957.0,2395.0,2069.0
2009-07-01,san_juan,72266.0,2432.0,2116.0
2009-07-01,san_luis,52583.0,2834.0,2451.0
2009-07-01,santa_cruz,51620.0,6211.0,5526.0
2009-07-01,santa_fe,463526.0,2771.0,2415.0
2009-07-01,santiago_estero,44419.0,2046.0,1770.0
2009-07-01,tierra_fuego,26023.0,4877.0,4261.0
2009-07-01,tucuman,164029.0,2061.0,1786.0
2009-10-01,caba,1513898.0,4349.0,3806.0
2009-10-01,catamarca,29984.0,3100.0,2693.0
2009-10-01,chaco,60404.0,2550.0,2214.0
2009-10-01,chubut,91244.0,6160.0,5434.0
2009-10-01,cordoba,468423.0,3144.0,2733.0
2009-10-01,corrientes,66547.0,2669.0,2303.0
2009-10-01,entre_rios,133894.0,2659.0,2306.0
2009-10-01,formosa,21887.0,2620.0,2246.0
2009-10-01,jujuy,50678.0,2820.0,2436.0
2009-10-01,la_pampa,36591.0,2972.0,2569.0
2009-10-01,la_rioja,25969.0,2926.0,2515.0
2009-10-01,mendoza,183824.0,2976.0,2598.0
2009-10-01,misiones,86609.0,2754.0,2372.0
2009-10-01,neuquen,86551.0,5816.0,5163.0
2009-10-01,provincia_buenos_aires,1819339.0,3632.0,3161.0
2009-10-01,rio_negro,91925.0,3347.0,2906.0
2009-10-01,salta,84765.0,2756.0,2375.0
2009-10-01,san_juan,73105.0,2870.0,2490.0
2009-10-01,san_luis,54495.0,3477.0,2994.0
2009-10-01,santa_cruz,52705.0,6925.0,6100.0
2009-10-01,santa_fe,473154.0,3336.0,2897.0
2009-10-01,santiago_estero,43765.0,2464.0,2128.0
2009-10-01,tierra_fuego,28305.0,6112.0,5322.0
2009-10-01,tucuman,153465.0,2473.0,2143.0
2010-01-01,caba,1519830.0,4284.0,3793.0
2010-01-01,catamarca,31393.0,2704.0,2354.0
2010-01-01,chaco,59473.0,2444.0,2135.0
2010-01-01,chubut,91721.0,5715.0,5066.0
2010-01-01,cordoba,478456.0,2922.0,2555.0
2010-01-01,corrientes,65606.0,2477.0,2145.0
2010-01-01,entre_rios,123919.0,2641.0,2300.0
2010-01-01,formosa,21909.0,2473.0,2133.0
2010-01-01,jujuy,49645.0,2501.0,2161.0
2010-01-01,la_pampa,35859.0,2825.0,2451.0
2010-01-01,la_rioja,31380.0,2387.0,2056.0
2010-01-01,mendoza,194824.0,2745.0,2400.0
2010-01-01,misiones,86766.0,2470.0,2131.0
2010-01-01,neuquen,89940.0,5358.0,4772.0
2010-01-01,provincia_buenos_aires,1844804.0,3388.0,2968.0
2010-01-01,rio_negro,111606.0,3124.0,2714.0
2010-01-01,salta,86992.0,2596.0,2249.0
2010-01-01,san_juan,76235.0,2682.0,2329.0
2010-01-01,san_luis,55789.0,3171.0,2735.0
2010-01-01,santa_cruz,54204.0,6424.0,5689.0
2010-01-01,santa_fe,471998.0,3147.0,2739.0
2010-01-01,santiago_estero,43971.0,2310.0,2003.0
2010-01-01,tierra_fuego,28799.0,5277.0,4586.0
2010-01-01,tucuman,136124.0,2455.0,2141.0
2010-04-01,caba,1526244.0,4924.0,4322.0
2010-04-01,catamarca,33575.0,3228.0,2788.0
2010-04-01,chaco,60508.0,3007.0,2606.0
2010-04-01,chubut,91107.0,7044.0,6247.0
2010-04-01,cordoba,480700.0,3544.0,3066.0
2010-04-01,corrientes,66364.0,2968.0,2557.0
2010-04-01,entre_rios,127223.0,3203.0,2765.0
2010-04-01,formosa,22422.0,2961.0,2550.0
2010-04-01,jujuy,50056.0,3327.0,2872.0
2010-04-01,la_pampa,35435.0,3462.0,2995.0
2010-04-01,la_rioja,30923.0,3032.0,2603.0
2010-04-01,mendoza,234378.0,3420.0,2971.0
2010-04-01,misiones,90919.0,2967.0,2548.0
2010-04-01,neuquen,86645.0,6678.0,5956.0
2010-04-01,provincia_buenos_aires,1836345.0,4098.0,3564.0
2010-04-01,rio_negro,96241.0,3799.0,3301.0
2010-04-01,salta,105092.0,3240.0,2804.0
2010-04-01,san_juan,75590.0,3288.0,2834.0
2010-04-01,san_luis,55175.0,3959.0,3396.0
2010-04-01,santa_cruz,52847.0,8028.0,7130.0
2010-04-01,santa_fe,476965.0,3837.0,3317.0
2010-04-01,santiago_estero,46369.0,2767.0,2388.0
2010-04-01,tierra_fuego,29673.0,6656.0,5812.0
2010-04-01,tucuman,159442.0,2854.0,2475.0
2010-07-01,caba,1538767.0,4558.0,3989.0
2010-07-01,catamarca,30463.0,3279.0,2837.0
2010-07-01,chaco,61315.0,2912.0,2546.0
2010-07-01,chubut,92453.0,6645.0,5917.0
2010-07-01,cordoba,482278.0,3337.0,2890.0
2010-07-01,corrientes,66164.0,2813.0,2436.0
2010-07-01,entre_rios,129711.00000000001,3018.0,2602.0
2010-07-01,formosa,23280.0,2794.0,2434.0
2010-07-01,jujuy,53310.0,3123.0,2700.0
2010-07-01,la_pampa,34778.0,3287.0,2845.0
2010-07-01,la_rioja,27552.0,2994.0,2584.0
2010-07-01,mendoza,228081.0,3225.0,2809.0
2010-07-01,misiones,91716.0,2812.0,2423.0
2010-07-01,neuquen,87575.0,6229.0,5559.0
2010-07-01,provincia_buenos_aires,1853024.0,3864.0,3343.0
2010-07-01,rio_negro,92954.0,3690.0,3226.0
2010-07-01,salta,106357.0,3010.0,2622.0
2010-07-01,san_juan,75289.0,3089.0,2668.0
2010-07-01,san_luis,54877.0,3717.0,3193.0
2010-07-01,santa_cruz,52986.0,7827.0,7003.0
2010-07-01,santa_fe,480168.0,3583.0,3084.0
2010-07-01,santiago_estero,48030.0,2632.0,2284.0
2010-07-01,tierra_fuego,30787.0,6711.0,5897.0
2010-07-01,tucuman,164219.0,2731.0,2365.0
2010-10-01,caba,1564606.0,5639.0,4943.0
2010-10-01,catamarca,30720.0,4149.0,3598.0
2010-10-01,chaco,62448.0,3585.0,3135.0
2010-10-01,chubut,95166.0,7881.0,6993.0
2010-10-01,cordoba,494601.0,4152.0,3596.0
2010-10-01,corrientes,67582.0,3539.0,3062.0
2010-10-01,entre_rios,136459.0,3619.0,3118.0
2010-10-01,formosa,24236.0,3431.0,2980.0
2010-10-01,jujuy,56181.0,3754.0,3246.0
2010-10-01,la_pampa,35331.0,4078.0,3532.0
2010-10-01,la_rioja,28132.0,3838.0,3308.0
2010-10-01,mendoza,235618.0,3921.0,3406.0
2010-10-01,misiones,89741.0,3569.0,3077.0
2010-10-01,neuquen,89360.0,7572.0,6736.0
2010-10-01,provincia_buenos_aires,1896626.0,4744.0,4106.0
2010-10-01,rio_negro,94413.0,4386.0,3822.0
2010-10-01,salta,110945.0,3596.0,3128.0
2010-10-01,san_juan,79021.0,3787.0,3264.0
2010-10-01,san_luis,56581.0,4560.0,3918.0
2010-10-01,santa_cruz,55513.0,8975.0,7991.0
2010-10-01,santa_fe,491412.0,4414.0,3800.0
2010-10-01,santiago_estero,47447.0,3232.0,2802.0
2010-10-01,tierra_fuego,33239.0,8610.0,7599.0
2010-10-01,tucuman,154097.0,3384.0,2933.0
2011-01-01,caba,1564843.0,5559.0,4908.0
2011-01-01,catamarca,32700.000000000004,3594.0,3124.0
2011-01-01,chaco,62825.0,3320.0,2904.0
2011-01-01,chubut,96741.0,7488.0,6671.0
2011-01-01,cordoba,502975.0,3898.0,3384.0
2011-01-01,corrientes,68258.0,3277.0,2834.0
2011-01-01,entre_rios,129511.0,3542.0,3053.0
2011-01-01,formosa,24321.0,3207.0,2789.0
2011-01-01,jujuy,56027.0,3352.0,2906.0
2011-01-01,la_pampa,36221.0,3830.0,3321.0
2011-01-01,la_rioja,33707.0,3160.0,2734.0
2011-01-01,mendoza,253099.0,3628.0,3158.0
2011-01-01,misiones,92536.0,3375.0,2919.0
2011-01-01,neuquen,93441.0,7099.0,6319.0
2011-01-01,provincia_buenos_aires,1938410.0,4505.0,3917.0
2011-01-01,rio_negro,114562.0,4107.0,3568.0
2011-01-01,salta,113180.0,3341.0,2912.0
2011-01-01,san_juan,83884.0,3654.0,3162.0
2011-01-01,san_luis,57015.0,4209.0,3625.0
2011-01-01,santa_cruz,58668.0,8515.0,7592.0
2011-01-01,santa_fe,492783.0,4201.0,3623.0
2011-01-01,santiago_estero,47085.0,3030.0,2633.0
2011-01-01,tierra_fuego,32790.0,7295.0,6406.0
2011-01-01,tucuman,145201.0,3282.0,2856.0
2011-04-01,caba,1575564.0,6423.0,5629.0
